run_number,activation,optimizer,structure,dataset,mse_train,mse_val,mse_test,epochs_run,fit_time_sec
1,relu,Adam,[32],Dane1_standardise,0.47207,0.48539,0.463529,11,2.29
2,relu,Adam,[32],Dane1_standardise,0.454111,0.514562,0.458935,15,2.61
3,relu,Adam,[32],Dane1_standardise,0.521241,0.508679,0.503945,11,2.06
4,relu,Adam,[32],Dane1_standardise,0.467635,0.515642,0.465857,12,2.29
5,relu,Adam,[32],Dane1_standardise,0.451124,0.517464,0.456559,16,2.78
6,relu,Adam,[32],Dane1_standardise,0.459452,0.505987,0.461772,11,2.17
7,relu,Adam,[32],Dane1_standardise,0.481826,0.469966,0.4688,12,2.4
8,relu,Adam,[32],Dane1_standardise,0.450782,0.518525,0.456993,16,2.76
9,relu,Adam,[32],Dane1_standardise,0.484444,0.470702,0.469279,12,2.35
10,relu,Adam,[32],Dane1_standardise,0.450097,0.508396,0.454293,21,3.4
1,relu,Adam,[32],Dane1_raw,0.456198,0.524955,0.461073,26,4.01
2,relu,Adam,[32],Dane1_raw,0.476212,0.472718,0.465918,13,2.39
3,relu,Adam,[32],Dane1_raw,0.44165,0.500028,0.442819,29,4.38
4,relu,Adam,[32],Dane1_raw,0.490554,0.489856,0.477944,11,2.12
5,relu,Adam,[32],Dane1_raw,0.442736,0.510641,0.445949,22,3.53
6,relu,Adam,[32],Dane1_raw,0.462564,0.500698,0.462109,12,2.26
7,relu,Adam,[32],Dane1_raw,0.443578,0.50599,0.446806,20,3.55
8,relu,Adam,[32],Dane1_raw,0.495561,0.468967,0.478874,11,2.14
9,relu,Adam,[32],Dane1_raw,0.451939,0.503317,0.45412,40,5.78
10,relu,Adam,[32],Dane1_raw,0.446135,0.506542,0.449437,17,2.93
1,relu,Adam,[32],Dane2_standardise,0.000576,0.000503,0.000461,334,37.57
2,relu,Adam,[32],Dane2_standardise,0.000772,0.000558,0.000761,244,27.48
3,relu,Adam,[32],Dane2_standardise,0.007513,0.004376,0.00584,45,5.75
4,relu,Adam,[32],Dane2_standardise,0.000898,0.001096,0.000818,109,12.72
5,relu,Adam,[32],Dane2_standardise,0.007463,0.003734,0.005877,60,7.46
